fkw1kke00s196_set196103,"['rt60 1.12s', 'distance 55m']"
mkn3jyg00s073_set073061,"['rt60 1.44s', 'distance 48m']"
fkn1syl00s178_set178051,"['rt60 0.57s', 'distance 38m']"
mjn1hjw00s118_set118042,"['rt60 0.81s', 'distance 40m']"
fss3kmh01s084_set084041,"['rt60 1.68s', 'distance 42m']"
fkn3hsh00s156_set156036,"['rt60 1.78s', 'distance 36m']"
mjn4hbs00s170_set170026,"['rt60 0.68s', 'distance 40m']"
fcb1khh01s184_set184010,"['rt60 1.77s', 'distance 47m']"
mjn3kjg00s092_set092007,"['rt60 1.67s', 'distance 42m']"
mkw3jes00s058_set058049,"['rt60 1.05s', 'distance 43m']"
mjn1jst00s189_set189033,"['rt60 1.77s', 'distance 39m']"
mkw4oys00s119_set119047,"['rt60 1.1s', 'distance 44m']"
mjn4jha00s031_set031058,"['rt60 0.82s', 'distance 47m']"
fss3lkh00s028_set028012,"['rt60 0.74s', 'distance 39m']"
fkb2smj00s059_set059051,"['rt60 0.69s', 'distance 35m']"
fss2kwi00s026_set026066,"['rt60 0.87s', 'distance 39m']"
mkw4hym00s199_set199053,"['rt60 0.63s', 'distance 38m']"
mkn3njm00s133_set133073,"['rt60 0.78s', 'distance 37m']"
mss3jyj01s146_set146001,"['rt60 0.71s', 'distance 44m']"
mcn2pms00s131_set131042,"['rt60 1.5s', 'distance 49m']"
mcn3sgs00s036_set036102,"['rt60 1.18s', 'distance 43m']"
fss4jhk00s148_set148016,"['rt60 1.08s', 'distance 38m']"
mss2nys00s006_set006090,"['rt60 1.76s', 'distance 35m']"
mjn3lji00s100_set100051,"['rt60 1.35s', 'distance 45m']"
mss2msi00s122_set122060,"['rt60 1.76s', 'distance 39m']"
mcn3ksy00s026_set026007,"['rt60 0.87s', 'distance 38m']"
mjn3lbj01s152_set152046,"['rt60 0.62s', 'distance 50m']"
fss2keh01s067_set067103,"['rt60 0.99s', 'distance 55m']"
mjn2chj00s126_set126055,"['rt60 0.7s', 'distance 45m']"
mcn2lds00s135_set135068,"['rt60 1.09s', 'distance 35m']"
mjn2jiw00s162_set162055,"['rt60 0.64s', 'distance 57m']"
fss3jmk00s167_set167059,"['rt60 1.48s', 'distance 55m']"
fkw1kke00s196_set196014,"['rt60 0.66s', 'distance 46m']"
fss2kjs01s037_set037054,"['rt60 0.71s', 'distance 50m']"
fcn3ljs00s081_set081007,"['rt60 0.94s', 'distance 58m']"
mjn1hjw00s118_set118097,"['rt60 1.15s', 'distance 33m']"
mjn2pjh00s127_set127045,"['rt60 1.69s', 'distance 46m']"
mkn3jws00s043_set043027,"['rt60 0.76s', 'distance 39m']"
fjn1nyr00s190_set190026,"['rt60 1.29s', 'distance 43m']"
fcn3lje00s159_set159097,"['rt60 0.84s', 'distance 43m']"
fcn4ksj00s038_set038025,"['rt60 0.88s', 'distance 41m']"
mss3ysm00s019_set019013,"['rt60 0.69s', 'distance 47m']"
fkn3lni00s182_set182006,"['rt60 1.48s', 'distance 44m']"
mcn5jgs00s117_set117040,"['rt60 0.5s', 'distance 47m']"
mss2ksh05s065_set065038,"['rt60 1.6s', 'distance 55m']"
mkn4jmg00s077_set077086,"['rt60 1.33s', 'distance 43m']"
mkn3njm00s133_set133076,"['rt60 1.28s', 'distance 42m']"
mss3hsw00s074_set074096,"['rt60 0.73s', 'distance 39m']"
mss2kdh00s125_set125022,"['rt60 1.65s', 'distance 39m']"
fkn4cks00s034_set034027,"['rt60 1.73s', 'distance 37m']"
mkn2kgy00s195_set195033,"['rt60 0.97s', 'distance 48m']"
mkn3ejs00s095_set095071,"['rt60 1.78s', 'distance 35m']"
mkn2kgy00s195_set195097,"['rt60 1.04s', 'distance 35m']"
mss4kyc00s041_set041016,"['rt60 0.93s', 'distance 38m']"
mss4jkh03s174_set174048,"['rt60 1.02s', 'distance 46m']"
fkn2hsj00s087_set087041,"['rt60 1.35s', 'distance 51m']"
fjn3lbh00s063_set063055,"['rt60 1.47s', 'distance 52m']"
fss2ljs01s082_set082038,"['rt60 0.55s', 'distance 41m']"
fjb2khy00s083_set083025,"['rt60 1.17s', 'distance 50m']"
mkw1ljh01s177_set177097,"['rt60 0.73s', 'distance 45m']"
fkn2sjs01s123_set123008,"['rt60 1.6s', 'distance 48m']"
fcn3khs02s138_set138040,"['rt60 0.83s', 'distance 52m']"
mkn4jmg00s077_set077073,"['rt60 0.91s', 'distance 38m']"
fss4scs00s008_set008009,"['rt60 0.77s', 'distance 51m']"
fkw3khj00s078_set078038,"['rt60 1.48s', 'distance 50m']"
fkn1lyo00s175_set175038,"['rt60 0.78s', 'distance 33m']"
mjn1jst00s189_set189091,"['rt60 0.64s', 'distance 38m']"
mss3cgh00s164_set164013,"['rt60 1.4s', 'distance 55m']"
fjb4sjo00s145_set145002,"['rt60 1.05s', 'distance 34m']"
fcb2kej01s109_set109035,"['rt60 0.94s', 'distance 43m']"
mkn2lkm00s029_set029055,"['rt60 0.52s', 'distance 40m']"
fkn2jjs00s051_set051096,"['rt60 1.57s', 'distance 34m']"
mcn4gjh00s194_set194055,"['rt60 0.54s', 'distance 56m']"
mss2lsm00s011_set011011,"['rt60 1.77s', 'distance 54m']"
fjb3ohs00s090_set090087,"['rt60 1.4s', 'distance 55m']"
fkb4keh00s031_set031091,"['rt60 1.26s', 'distance 51m']"
fss3kmh01s084_set084094,"['rt60 1.74s', 'distance 41m']"
mss3ajh01s013_set013062,"['rt60 1.07s', 'distance 38m']"
fjn3kyo00s119_set119045,"['rt60 0.92s', 'distance 42m']"
mkw3lbc00s023_set023081,"['rt60 1.32s', 'distance 48m']"
fcb5ash00s157_set157060,"['rt60 1.75s', 'distance 49m']"
mss3lky00s020_set020035,"['rt60 0.83s', 'distance 37m']"
mjn4jha00s031_set031022,"['rt60 1.3s', 'distance 46m']"
fss3lkh00s028_set028091,"['rt60 0.59s', 'distance 39m']"
mjn1jst00s189_set189041,"['rt60 0.88s', 'distance 36m']"
fcn3lms00s110_set110081,"['rt60 1.64s', 'distance 45m']"
mjn4hbs00s170_set170082,"['rt60 0.64s', 'distance 39m']"
fcn2oyo00s116_set116067,"['rt60 1.43s', 'distance 36m']"
mkn2yjs01s079_set079050,"['rt60 1.56s', 'distance 49m']"
fcn1sjr00s192_set192057,"['rt60 1.22s', 'distance 41m']"
fkw2phs00s043_set043005,"['rt60 1.76s', 'distance 37m']"
fjn3hks00s061_set061018,"['rt60 0.56s', 'distance 46m']"
mcn3jsg00s178_set178077,"['rt60 1.73s', 'distance 40m']"
mjn2chj00s126_set126032,"['rt60 1.26s', 'distance 45m']"
mkw3jsm01s200_set200099,"['rt60 1.26s', 'distance 41m']"
mkn4jmc00s166_set166088,"['rt60 1.67s', 'distance 37m']"
fkn3les01s151_set151002,"['rt60 0.99s', 'distance 43m']"
fkw3yhj01s194_set194045,"['rt60 0.95s', 'distance 48m']"
mcn3ldi00s028_set028089,"['rt60 0.57s', 'distance 41m']"
mss2csj00s080_set080076,"['rt60 0.96s', 'distance 55m']"
mss3jyj01s146_set146025,"['rt60 0.75s', 'distance 40m']"
mkn3jws00s043_set043057,"['rt60 0.97s', 'distance 40m']"
fjn3kir00s014_set014033,"['rt60 0.69s', 'distance 47m']"
mjn4hbs00s170_set170047,"['rt60 1.36s', 'distance 43m']"
mkn3kyh01s182_set182022,"['rt60 1.0s', 'distance 45m']"
fcn3lje00s159_set159048,"['rt60 1.28s', 'distance 50m']"
fcn3lci00s118_set118055,"['rt60 1.02s', 'distance 48m']"
mkn4eds00s014_set014055,"['rt60 0.92s', 'distance 45m']"
mss4ksb00s098_set098028,"['rt60 1.26s', 'distance 39m']"
mjn3lgs00s171_set171080,"['rt60 1.07s', 'distance 45m']"
mkw3lbc00s023_set023092,"['rt60 1.18s', 'distance 42m']"
fcn3lms00s110_set110034,"['rt60 1.31s', 'distance 35m']"
mkn4pgs00s139_set139034,"['rt60 0.87s', 'distance 55m']"
fss3kmh01s084_set084102,"['rt60 0.72s', 'distance 45m']"
mss3lky00s020_set020003,"['rt60 1.37s', 'distance 54m']"
fss3kmj02s163_set163055,"['rt60 1.45s', 'distance 38m']"
fcn2kmk00s129_set129054,"['rt60 1.4s', 'distance 39m']"
fjb2khy00s083_set083013,"['rt60 0.73s', 'distance 42m']"
fcn2pkm00s169_set169047,"['rt60 1.12s', 'distance 47m']"
mkn3koh01s048_set048060,"['rt60 1.52s', 'distance 36m']"
fkw3hsh01s188_set188043,"['rt60 1.38s', 'distance 43m']"
mss2pgy00s066_set066048,"['rt60 0.55s', 'distance 41m']"
fss3lkh00s028_set028069,"['rt60 1.23s', 'distance 53m']"
mkn3jyg00s073_set073091,"['rt60 1.07s', 'distance 45m']"
mss4kyc00s041_set041034,"['rt60 0.6s', 'distance 39m']"
fcn3pej00s139_set139093,"['rt60 0.89s', 'distance 45m']"
fcn4jbs00s042_set042020,"['rt60 0.92s', 'distance 38m']"
mss4eks00s017_set017050,"['rt60 0.56s', 'distance 54m']"
fkw3kcs00s198_set198063,"['rt60 1.77s', 'distance 51m']"
fcn2pkm00s169_set169031,"['rt60 1.11s', 'distance 52m']"
fkb2smj00s059_set059043,"['rt60 1.48s', 'distance 37m']"
fss3khs00s003_set003073,"['rt60 0.71s', 'distance 34m']"
fss2kwi00s026_set026043,"['rt60 0.64s', 'distance 47m']"
mss1lch02s008_set008049,"['rt60 0.94s', 'distance 40m']"
fcn1hje00s199_set199042,"['rt60 1.49s', 'distance 38m']"
fjn3psy00s133_set133083,"['rt60 1.39s', 'distance 41m']"
fcn1khj03s179_set179082,"['rt60 1.33s', 'distance 38m']"
fss4ksh00s010_set010105,"['rt60 1.1s', 'distance 36m']"
fss3jmh00s099_set099071,"['rt60 1.24s', 'distance 42m']"
fkn3kja00s160_set160015,"['rt60 1.09s', 'distance 50m']"
fjn2pkr00s050_set050037,"['rt60 0.78s', 'distance 53m']"
mcn2pms00s131_set131073,"['rt60 0.74s', 'distance 49m']"
mjn2scg00s090_set090029,"['rt60 0.92s', 'distance 43m']"
fcn3lms00s110_set110014,"['rt60 1.4s', 'distance 35m']"
mcn3pjg00s038_set038005,"['rt60 0.68s', 'distance 38m']"
fjn3kir00s014_set014085,"['rt60 0.94s', 'distance 44m']"
fkb4lhh00s140_set140028,"['rt60 0.98s', 'distance 40m']"
mkw1shg00s184_set184037,"['rt60 0.99s', 'distance 38m']"
mjn2shr00s114_set114028,"['rt60 1.71s', 'distance 56m']"
fjb3yhs00s012_set012053,"['rt60 0.9s', 'distance 47m']"
fkn2sjs01s123_set123097,"['rt60 1.63s', 'distance 46m']"
fkn2jjs00s051_set051063,"['rt60 0.58s', 'distance 39m']"
mjn2jkh01s103_set103038,"['rt60 1.05s', 'distance 41m']"
mjn3kbs00s169_set169093,"['rt60 0.55s', 'distance 58m']"
fkn1pjm00s017_set017096,"['rt60 0.69s', 'distance 48m']"
mkn4phc00s115_set115026,"['rt60 1.69s', 'distance 44m']"
mcn3shm00s130_set130035,"['rt60 1.73s', 'distance 44m']"
fjb2ljh00s053_set053004,"['rt60 1.19s', 'distance 42m']"
mjn4ysh00s037_set037068,"['rt60 1.73s', 'distance 37m']"
mjn3ksh04s052_set052041,"['rt60 1.47s', 'distance 44m']"
mkn3jyj02s183_set183021,"['rt60 0.87s', 'distance 44m']"
fss4jse00s114_set114057,"['rt60 0.61s', 'distance 57m']"
mss3cwl00s088_set088074,"['rt60 1.47s', 'distance 54m']"
fjn3lbh00s063_set063086,"['rt60 0.66s', 'distance 57m']"
fjb3kmy00s074_set074088,"['rt60 1.06s', 'distance 42m']"
mjn3kbs00s169_set169015,"['rt60 1.11s', 'distance 50m']"
fkn3kse00s041_set041065,"['rt60 1.63s', 'distance 35m']"
mss2nsm00s121_set121029,"['rt60 1.61s', 'distance 42m']"
fkb3lkh01s161_set161102,"['rt60 1.22s', 'distance 43m']"
mkn2ksh06s154_set154036,"['rt60 1.06s', 'distance 40m']"
fkn4ceh00s189_set189053,"['rt60 1.59s', 'distance 57m']"
fkb2ahj00s046_set046022,"['rt60 1.4s', 'distance 52m']"
fjn2jhj01s152_set152038,"['rt60 1.55s', 'distance 40m']"
fjn3kir00s014_set014036,"['rt60 1.5s', 'distance 50m']"
mkn3jip00s034_set034002,"['rt60 1.57s', 'distance 49m']"
fkn2smh00s120_set120012,"['rt60 1.47s', 'distance 50m']"
mcn1hsy00s192_set192087,"['rt60 1.71s', 'distance 46m']"
mss3kjp00s094_set094059,"['rt60 1.53s', 'distance 42m']"
mjn2scg00s090_set090091,"['rt60 0.59s', 'distance 50m']"
fss1jsk00s092_set092047,"['rt60 1.35s', 'distance 45m']"
mjn4kbh00s108_set108092,"['rt60 1.18s', 'distance 36m']"
mss2ocs00s138_set138097,"['rt60 1.13s', 'distance 44m']"
fss4peo00s004_set004037,"['rt60 0.61s', 'distance 38m']"
mkn4jmc00s166_set166045,"['rt60 0.89s', 'distance 44m']"
fjb3kmy00s074_set074076,"['rt60 0.71s', 'distance 41m']"
fkn3les01s151_set151089,"['rt60 0.68s', 'distance 42m']"
fjb2psj00s064_set064037,"['rt60 0.62s', 'distance 50m']"
mkn2dhs00s015_set015049,"['rt60 1.37s', 'distance 53m']"
mjn3shs00s167_set167041,"['rt60 0.6s', 'distance 41m']"
mss3kjh02s156_set156088,"['rt60 1.31s', 'distance 48m']"
mcn3sgs00s036_set036012,"['rt60 1.79s', 'distance 45m']"
mcn3jsj00s040_set040067,"['rt60 1.01s', 'distance 48m']"
fkn3jhj00s054_set054021,"['rt60 0.82s', 'distance 54m']"
fcb3hkp00s045_set045043,"['rt60 0.89s', 'distance 36m']"
fkn4ceh00s189_set189037,"['rt60 1.48s', 'distance 52m']"
mjn2hhs01s016_set016056,"['rt60 1.29s', 'distance 37m']"
mkw2kjh01s054_set054058,"['rt60 0.8s', 'distance 47m']"
mkn4jmc00s166_set166098,"['rt60 0.79s', 'distance 45m']"
mcn3lgh00s150_set150096,"['rt60 1.08s', 'distance 54m']"
fss4lys00s136_set136063,"['rt60 0.76s', 'distance 36m']"
mss4hwb00s030_set030054,"['rt60 1.8s', 'distance 45m']"
fkw3pes00s185_set185050,"['rt60 0.86s', 'distance 38m']"
fjb3kjs02s062_set062034,"['rt60 1.44s', 'distance 42m']"
fkb4keh00s031_set031045,"['rt60 1.2s', 'distance 54m']"
fkw2phs01s165_set165034,"['rt60 0.59s', 'distance 43m']"
fkn1syl00s178_set178058,"['rt60 1.33s', 'distance 58m']"
fjb2kem01s095_set095040,"['rt60 0.72s', 'distance 48m']"
fkw1kke00s196_set196075,"['rt60 1.13s', 'distance 36m']"
fcb3kks00s158_set158098,"['rt60 0.82s', 'distance 53m']"
fkn2jsy02s065_set065031,"['rt60 1.42s', 'distance 36m']"
mkw3jes00s058_set058091,"['rt60 0.75s', 'distance 39m']"
mss3kjy01s099_set099060,"['rt60 0.83s', 'distance 44m']"
mkw3pks01s149_set149014,"['rt60 1.52s', 'distance 38m']"
fss3yjs00s072_set072078,"['rt60 0.77s', 'distance 42m']"
fjn2pby00s155_set155024,"['rt60 1.65s', 'distance 45m']"
mkn2ljw01s124_set124061,"['rt60 1.25s', 'distance 60m']"
mcn4lbj00s113_set113097,"['rt60 1.73s', 'distance 50m']"
mkw1ljh01s177_set177095,"['rt60 1.21s', 'distance 44m']"
mkn3kgh00s111_set111084,"['rt60 1.74s', 'distance 42m']"
mkw3lwc00s091_set091067,"['rt60 1.06s', 'distance 36m']"
fjn3jmj00s107_set107082,"['rt60 1.5s', 'distance 38m']"
fcn3lje00s159_set159066,"['rt60 1.0s', 'distance 56m']"
mcn3kss00s144_set144069,"['rt60 1.77s', 'distance 49m']"
mjn1hjw00s118_set118057,"['rt60 0.77s', 'distance 41m']"
fkw1kke00s196_set196027,"['rt60 0.67s', 'distance 39m']"
fkw2jyj00s108_set108034,"['rt60 0.54s', 'distance 42m']"
fcn4ksj00s038_set038012,"['rt60 1.52s', 'distance 42m']"
mkw4cws00s112_set112026,"['rt60 0.53s', 'distance 52m']"
mkn2kgy00s195_set195077,"['rt60 1.34s', 'distance 46m']"
fss1jys00s022_set022105,"['rt60 1.12s', 'distance 51m']"
fjn3ksa00s049_set049018,"['rt60 0.62s', 'distance 40m']"
fjb4sjo00s145_set145023,"['rt60 0.62s', 'distance 37m']"
fkb4lhh00s140_set140050,"['rt60 0.62s', 'distance 34m']"
fss4jhk00s148_set148053,"['rt60 0.88s', 'distance 45m']"
mkn2dhs00s015_set015045,"['rt60 0.83s', 'distance 36m']"
mcn4ybs00s062_set062037,"['rt60 1.29s', 'distance 54m']"
mkn2kjs03s027_set027018,"['rt60 0.7s', 'distance 44m']"
fjn4jms01s153_set153085,"['rt60 1.72s', 'distance 43m']"
mcn3ksj02s116_set116102,"['rt60 1.55s', 'distance 38m']"
mjn3lgs00s171_set171027,"['rt60 0.52s', 'distance 40m']"
fcn3sem00s162_set162030,"['rt60 1.74s', 'distance 48m']"
fkn3hej00s104_set104049,"['rt60 0.71s', 'distance 41m']"
fss3jmk00s167_set167013,"['rt60 1.2s', 'distance 44m']"
mjn2jiw00s162_set162070,"['rt60 1.08s', 'distance 39m']"
mkn3kes00s165_set165022,"['rt60 0.88s', 'distance 41m']"
fkb2smj00s059_set059080,"['rt60 1.12s', 'distance 37m']"
mcn4gjh00s194_set194065,"['rt60 1.51s', 'distance 37m']"
fkw3khj00s078_set078011,"['rt60 1.29s', 'distance 50m']"
mss4kyc00s041_set041022,"['rt60 1.35s', 'distance 37m']"
mss3cgh00s164_set164083,"['rt60 0.66s', 'distance 43m']"
mjn2scg00s090_set090084,"['rt60 1.07s', 'distance 43m']"
mss2ksh05s065_set065047,"['rt60 0.86s', 'distance 46m']"
fss3yje00s001_set001019,"['rt60 0.93s', 'distance 36m']"
mcn3ksj01s042_set042055,"['rt60 1.16s', 'distance 44m']"
mss4lyn00s104_set104004,"['rt60 0.66s', 'distance 42m']"
fss3lmw00s002_set002105,"['rt60 0.68s', 'distance 37m']"
fcn2les00s079_set079038,"['rt60 1.74s', 'distance 42m']"
mss4kyc00s041_set041056,"['rt60 0.74s', 'distance 45m']"
fss2kjs01s037_set037018,"['rt60 1.41s', 'distance 42m']"
mkn3abc00s024_set024079,"['rt60 0.51s', 'distance 45m']"
mkn2ljw01s124_set124020,"['rt60 0.95s', 'distance 43m']"
fjn1nyr00s190_set190009,"['rt60 0.81s', 'distance 52m']"
fss3hsa00s141_set141057,"['rt60 1.79s', 'distance 46m']"
mkn1kth00s137_set137085,"['rt60 1.04s', 'distance 39m']"
fcn2kjh00s180_set180004,"['rt60 1.36s', 'distance 44m']"
mkn1kth00s137_set137018,"['rt60 1.22s', 'distance 34m']"
fcn4pkh01s142_set142041,"['rt60 1.21s', 'distance 36m']"
mss2pjg01s063_set063067,"['rt60 1.56s', 'distance 43m']"
mss2nys00s006_set006098,"['rt60 1.04s', 'distance 50m']"
mss2kdh00s125_set125020,"['rt60 1.25s', 'distance 36m']"
fkn4lms02s186_set186053,"['rt60 1.69s', 'distance 49m']"
mkw4oys00s119_set119074,"['rt60 1.4s', 'distance 52m']"
fss2hyj00s036_set036034,"['rt60 0.83s', 'distance 36m']"
fss3pmj00s128_set128028,"['rt60 1.07s', 'distance 44m']"
mjn1chs00s198_set198095,"['rt60 1.33s', 'distance 52m']"
fss3jmh00s099_set099085,"['rt60 1.29s', 'distance 48m']"
fjn2jms00s150_set150097,"['rt60 0.74s', 'distance 38m']"
fkn3hmh00s144_set144102,"['rt60 0.64s', 'distance 36m']"
fss3kmh00s015_set015027,"['rt60 1.37s', 'distance 52m']"
fcn1khj03s179_set179043,"['rt60 0.82s', 'distance 38m']"
mjn2kgj00s083_set083084,"['rt60 1.07s', 'distance 52m']"
fss3pyj00s191_set191084,"['rt60 0.88s', 'distance 39m']"
fjb2ssh00s102_set102081,"['rt60 0.99s', 'distance 43m']"
mkn3kgh00s111_set111034,"['rt60 0.85s', 'distance 60m']"
mkn3jip00s034_set034016,"['rt60 1.26s', 'distance 42m']"
fss2kkh00s055_set055053,"['rt60 1.29s', 'distance 36m']"
mss2lsm00s011_set011028,"['rt60 0.69s', 'distance 45m']"
fjn4csh00s164_set164095,"['rt60 1.76s', 'distance 44m']"
mss4ljw00s039_set039073,"['rt60 1.32s', 'distance 38m']"
mss3ajh01s013_set013048,"['rt60 1.29s', 'distance 33m']"
mkn4phc00s115_set115099,"['rt60 1.38s', 'distance 36m']"
mss3ajh01s013_set013008,"['rt60 1.78s', 'distance 38m']"
fjn3pyh00s030_set030012,"['rt60 0.96s', 'distance 45m']"
fjb4jho00s091_set091063,"['rt60 0.83s', 'distance 41m']"
mss3kah00s160_set160084,"['rt60 1.51s', 'distance 43m']"
fkn2jsy01s033_set033008,"['rt60 1.06s', 'distance 36m']"
mcn3lgh00s150_set150081,"['rt60 1.59s', 'distance 38m']"
fkb3ksm00s121_set121059,"['rt60 1.36s', 'distance 39m']"
fjb3ohs00s090_set090005,"['rt60 1.4s', 'distance 58m']"
fkb2smj00s059_set059029,"['rt60 1.26s', 'distance 55m']"
mss2ksh03s003_set003026,"['rt60 1.35s', 'distance 47m']"
mcn4keg00s188_set188007,"['rt60 1.22s', 'distance 35m']"
fss3pmj00s128_set128096,"['rt60 1.5s', 'distance 39m']"
mkw4hym00s199_set199045,"['rt60 0.78s', 'distance 48m']"
fkn3pka00s073_set073081,"['rt60 0.54s', 'distance 36m']"
fss3jmk00s167_set167011,"['rt60 1.38s', 'distance 41m']"
fcn3hys00s093_set093047,"['rt60 0.76s', 'distance 41m']"
fkn3bra00s098_set098016,"['rt60 0.52s', 'distance 52m']"
mjn2hks01s102_set102087,"['rt60 0.72s', 'distance 37m']"
fcn2pkm00s169_set169085,"['rt60 0.56s', 'distance 53m']"
mkw3lji01s191_set191001,"['rt60 1.54s', 'distance 44m']"
fss3khj01s086_set086080,"['rt60 1.12s', 'distance 44m']"
fss4ysj00s111_set111087,"['rt60 1.26s', 'distance 49m']"
fss4peo00s004_set004066,"['rt60 1.11s', 'distance 39m']"
fss3lmw00s002_set002032,"['rt60 0.52s', 'distance 39m']"
mcn2jih00s186_set186057,"['rt60 1.4s', 'distance 42m']"
fss2hyj00s036_set036036,"['rt60 0.55s', 'distance 39m']"
mjn2kcs01s056_set056093,"['rt60 1.54s', 'distance 48m']"
mcn3ldi00s028_set028003,"['rt60 1.59s', 'distance 40m']"
fkb3lkh01s161_set161080,"['rt60 1.08s', 'distance 35m']"
fcn2les00s079_set079052,"['rt60 1.55s', 'distance 41m']"
mss3kjy01s099_set099018,"['rt60 1.13s', 'distance 36m']"
mss3ykh00s022_set022027,"['rt60 0.57s', 'distance 38m']"
mcn2lyj00s142_set142020,"['rt60 0.94s', 'distance 46m']"
mkw3jes00s058_set058020,"['rt60 1.08s', 'distance 36m']"
mcn3ykj00s033_set033070,"['rt60 1.1s', 'distance 43m']"
fkw3hsh01s188_set188045,"['rt60 0.53s', 'distance 45m']"
fcn5msh00s168_set168051,"['rt60 0.94s', 'distance 42m']"
mkw3lbc00s023_set023011,"['rt60 1.77s', 'distance 44m']"
mjn2kgj00s083_set083014,"['rt60 1.47s', 'distance 41m']"
fjn4csh00s164_set164057,"['rt60 1.06s', 'distance 41m']"
mcn3ksj02s116_set116064,"['rt60 1.34s', 'distance 56m']"
mss3kjp00s094_set094014,"['rt60 0.65s', 'distance 43m']"
fcn3hhs00s089_set089025,"['rt60 1.69s', 'distance 37m']"
fcb5ash00s157_set157078,"['rt60 1.24s', 'distance 43m']"
fcn3hhs00s089_set089093,"['rt60 0.52s', 'distance 39m']"
mcn2ojs00s176_set176063,"['rt60 1.16s', 'distance 49m']"
mkw4oys00s119_set119054,"['rt60 0.67s', 'distance 39m']"
fss3kmh00s015_set015053,"['rt60 1.77s', 'distance 44m']"
fkn2jjs00s051_set051008,"['rt60 0.96s', 'distance 43m']"
fjn4jks01s149_set149083,"['rt60 0.52s', 'distance 43m']"
fkn3hmh00s144_set144064,"['rt60 1.61s', 'distance 37m']"
fss3kmh01s084_set084030,"['rt60 1.31s', 'distance 45m']"
mjn2pjh00s127_set127038,"['rt60 1.11s', 'distance 54m']"
mjn2ljy00s196_set196102,"['rt60 1.49s', 'distance 45m']"
fkn2smh00s120_set120017,"['rt60 0.57s', 'distance 53m']"
fcn3sio00s088_set088044,"['rt60 1.18s', 'distance 54m']"
fjb3yhs00s012_set012099,"['rt60 1.75s', 'distance 37m']"
mcn3lhj00s101_set101033,"['rt60 1.67s', 'distance 50m']"
mcn1lch04s193_set193053,"['rt60 0.58s', 'distance 34m']"
fkn2jsy02s065_set065085,"['rt60 1.18s', 'distance 37m']"
mss2pgy00s066_set066018,"['rt60 1.05s', 'distance 47m']"
fkw3pes00s185_set185024,"['rt60 1.66s', 'distance 48m']"
mcn4gjh00s194_set194102,"['rt60 1.71s', 'distance 48m']"
fcn2lhs00s176_set176031,"['rt60 1.07s', 'distance 38m']"
mkn2ase00s096_set096061,"['rt60 0.55s', 'distance 42m']"
mss1lch02s008_set008093,"['rt60 1.19s', 'distance 38m']"
fjb4sye00s080_set080011,"['rt60 1.18s', 'distance 53m']"
mss3cgh00s164_set164094,"['rt60 1.44s', 'distance 35m']"
fkw2jyj00s108_set108038,"['rt60 1.5s', 'distance 42m']"
mss3jhs00s093_set093006,"['rt60 1.07s', 'distance 51m']"
fcn2kmk00s129_set129056,"['rt60 0.78s', 'distance 49m']"
fjb4sjo00s145_set145088,"['rt60 1.05s', 'distance 53m']"
mjn3lyc00s086_set086025,"['rt60 1.28s', 'distance 41m']"
mjn1chs00s198_set198104,"['rt60 1.44s', 'distance 46m']"
fkn3jhj00s054_set054065,"['rt60 1.46s', 'distance 35m']"
mcn3lhj00s101_set101091,"['rt60 0.67s', 'distance 54m']"
mcn4aib00s197_set197094,"['rt60 1.5s', 'distance 42m']"
fjb2khy00s083_set083029,"['rt60 1.39s', 'distance 53m']"
mkw2jch00s005_set005063,"['rt60 0.71s', 'distance 33m']"
fkn3hsh00s156_set156085,"['rt60 1.01s', 'distance 38m']"
fjn1ajh00s174_set174067,"['rt60 1.15s', 'distance 44m']"
mss2kjy00s002_set002085,"['rt60 0.51s', 'distance 47m']"
mkw3hse00s159_set159007,"['rt60 1.39s', 'distance 44m']"
mcn3sgs00s036_set036049,"['rt60 1.68s', 'distance 45m']"
fkn4lms02s186_set186068,"['rt60 0.53s', 'distance 44m']"
mkn1swj00s078_set078023,"['rt60 1.32s', 'distance 42m']"
fcn4yyo00s181_set181077,"['rt60 0.84s', 'distance 42m']"
fss2kkh00s055_set055076,"['rt60 1.71s', 'distance 49m']"
fkn3kse00s041_set041070,"['rt60 1.02s', 'distance 53m']"
mcn3wjs00s105_set105058,"['rt60 1.37s', 'distance 33m']"
mkw4oys00s119_set119021,"['rt60 1.58s', 'distance 42m']"
mss3jyj01s146_set146061,"['rt60 0.99s', 'distance 48m']"
fjn1nyr00s190_set190078,"['rt60 1.2s', 'distance 42m']"
fss4ysj00s111_set111031,"['rt60 1.09s', 'distance 44m']"
mjn3kjg00s092_set092040,"['rt60 1.28s', 'distance 35m']"
fcn5msh00s168_set168001,"['rt60 0.62s', 'distance 44m']"
mss4hcy00s021_set021103,"['rt60 1.12s', 'distance 41m']"
mcn3pjg00s038_set038059,"['rt60 0.98s', 'distance 38m']"
fkb3leh00s101_set101092,"['rt60 0.93s', 'distance 45m']"
fkn3bra00s098_set098069,"['rt60 1.78s', 'distance 49m']"
mkn2mkn00s123_set123091,"['rt60 1.55s', 'distance 40m']"
fcn3hys00s093_set093036,"['rt60 1.73s', 'distance 47m']"
mss2bjh00s001_set001025,"['rt60 0.82s', 'distance 47m']"
fkb4keh00s031_set031101,"['rt60 1.03s', 'distance 47m']"
fjn2pby00s155_set155005,"['rt60 1.01s', 'distance 46m']"
